mouse1c	mouse1i	mouse1j
38.7104	32.5644	27.1804
19.9509	8.9006	41.5025
30.5203	17.0512	17.6041
40.9032	18.403	23.6865
24.0681	30.0122	25.868
31.6326	25.083	17.6782
26.2078	13.8645	14.8167
54.3626	13.8992	15.3132
32.8199	26.3585	19.5075
40.9975	26.5747	10.9219
41.4528	21.5179	26.3949
23.4297	17.083	15.6967
36.3554	20.9368	25.5518
58.0976	38.3013	41.4505
34.3882	27.5918	21.6725
23.2476	39.4111	17.5056
44.7148	28.8387	28.8409
28.4462	38.4488	26.0803
35.0062	44.9469	18.5835
27.1314	17.3528	14.7665
31.5999	18.7176	25.8116
30.7728	30.727	20.728
37.1106	34.8039	14.0638
34.0624	25.0018	30.5647
28.8658	21.4799	32.2123
23.4045	19.2134	40.3839
23.8419	23.2522	7.6903
32.5473	23.4314	34.1732
55.4936	9.5046	26.7911
44.6537	10.6686	43.4738
28.971	33.8063	16.5692
10.9654	25.2229	14.3682
29.1035	17.8298	35.22
28.5677	33.219	18.347
29.9795	23.4102	26.1966
44.4563	36.4308	16.6138
37.0377	40.1256	11.8752
38.1573	26.282	14.4761
35.5984	21.1365	17.149
27.8603	23.8143	18.6869
45.5308	22.5303	22.013
34.0563	44.41	20.1533
36.5167	18.8819	17.1871
36.5818	24.7876	36.1575
37.756	31.1318	21.8255
21.5403	28.78	26.8758
31.1604	24.3695	25.26
22.9733	38.5238	28.3546
45.2527	20.8089	14.3434
26.3552	28.6156	16.3469
47.4158	26.9351	26.823
29.7399	42.9532	34.4353
36.7415	34.0634	36.2331
45.398	23.9878	38.8806
36.0769	19.7925	18.8161
25.1608	19.0142	22.2349
32.2565	21.9541	18.797
37.1737	30.5813	14.9438
30.0084	22.2693	24.1667
21.689	17.9522	25.027
24.6216	17.263	24.0325
30.6775	25.0218	18.8585
28.4099	16.7018	18.9374
38.9558	16.8708	34.9782
43.7773	40.4743	18.0369
40.3559	32.2016	35.5587
32.4931	18.2185	33.4489
35.4505	43.647	19.6927
36.5026	21.9423	15.5418
36.3407	12.2343	19.3729
44.6856	41.6137	21.3614
37.2803	13.7316	18.78
31.979	32.6598	30.9105
30.0508	12.167	48.4017
37.5524	31.493	19.6834
33.2219	20.3765	16.474
54.9425	14.9169	27.8657
44.4592	30.972	13.906
27.9346	24.6374	20.8766
24.2949	26.9367	30.2716
31.8489	23.528	18.8329
41.5392	22.1358	20.5497
37.6877	31.2542	21.0799
26.4626	39.5839	23.2126
27.9444	22.3486	23.4127
39.5795	68.6574	25.024
32.994	29.216	18.8069
31.8514	46.2957	23.7192
33.2049	47.9873	16.7766
34.7167	37.0987	16.5289
30.074	25.4365	33.0716
18.5242	39.64	16.1324
31.8866	25.212	24.5357
25.8026	22.9885	23.7757
25.8076	43.389	19.7642
19.5532	32.9664	11.9752
39.756	20.428	29.3906
26.9375	18.7334	14.9803
31.2548	30.2143	20.9639
29.3189	35.7319	15.9119
