mouse6e	mouse6g	mouse1a
8.5702	3.0447	10.5894
4.3411	3.2996	9.5487
5.2892	6.5806	11.7138
6.8461	1.3406	8.4349
6.9971	3.8802	8.6155
7.4924	4.5236	11.084
9.476	3.8978	4.8335
8.9345	2.2977	4.48
9.8202	3.0375	2.8668
7.399	3.9038	6.0399
8.1187	7.8643	7.3367
5.6629	1.5889	3.7074
5.5711	2.8279	4.6571
5.9924	3.7771	4.0859
11.1453	3.4446	3.9696
5.6123	3.7422	5.5553
14.289	0.8392	6.1882
14.5721	1.8708	5.734
6.8299	1.7204	4.2978
5.8328	2.0482	7.2106
10.7681	2.0396	3.5603
7.3271	1.5925	5.1792
6.7407	3.8132	5.5031
5.639	1.8745	5.5971
9.2999	3.0267	6.3501
5.8482	1.9834	7.1874
6.658	2.2933	6.3747
10.1621	2.791	14.4426
7.0783	2.6569	7.5169
6.1899	2.2014	12.0138
6.3092	2.954	12.2213
5.1911	1.4663	11.3417
10.5892	2.6707	5.6457
6.9629	2.5567	7.4094
3.8247	7.2574	5.9535
7.3564	2.2269	5.1292
4.7731	3.0537	4.7359
5.6848	1.0106	5.4418
5.3148	3.3291	7.1003
3.4752	1.178	8.8719
4.5874	2.1526	7.9783
4.8258	2.1526	8.0868
8.6978	2.3068	4.6998
9.3195	3.2085	6.4316
9.5182	2.3418	5.759
4.6928	2.3105	4.8825
6.1754	1.0629	6.314
5.3151	2.3763	6.23
9.7553	1.8691	5.8432
7.2512	5.1184	5.3103
7.6474	1.0541	7.5881
4.2855	4.283	15.0918
6.6845	1.1806	3.3303
18.9933	3.1991	5.7412
8.6582	1.0894	13.5476
6.7901	1.5245	8.8395
5.205	1.716	4.631
6.5207	1.698	13.2606
4.9234	1.5418	6.2967
4.9916	2.1367	3.0189
8.6279	4.0639	2.9829
8.6921	3.2186	5.1704
5.6022	4.9743	4.8016
4.8338	1.9974	6.9562
5.9558	2.3511	9.3502
7.2806	4.1326	7.4097
3.8298	2.0657	13.7815
12.3262	2.6891	10.3879
9.7854	4.2174	13.3862
5.0745	2.1965	10.2068
1.9834	2.9295	10.3899
6.6704	4.0252	8.8152
7.0567	3.7539	5.9301
4.1193	2.7001	4.3949
9.7586	4.6141	8.3911
6.7593	3.2884	6.424
5.0085	6.4911	12.3564
12.31	3.4519	6.2745
11.3544	2.2885	2.7288
4.8006	4.7997	5.1735
4.7734	2.1944	4.3479
6.8141	3.6287	5.8578
4.1427	3.5438	6.4645
3.8864	2.3707	3.9938
4.5126	2.4422	4.1847
6.7133	5.4601	4.5058
5.0185	4.3004	7.1452
10.317	2.514	4.5194
7.7154	1.424	5.4902
3.5844	2.5375	3.9152
3.3167	2.7636	8.3615
12.0025	4.2172	6.5835
11.5484	3.2575	6.681
6.2602	4.9228	12.5298
2.6552	2.9528	3.1054
6.5055	2.5857	5.6833
10.052	2.9139	4.8896
4.5272	2.3308	5.456
8.0853	1.7957	6.8578
8.4335	3.06	7.3695
5.4523	6.6547	5.0914
7.7638	2.4318	6.3356
7.086	3.5364	2.8362
5.6323	7.8946	7.4943
10.3149	3.7472	5.2101
2.7726	3.1018	10.8291
7.6385	5.6571	7.3667
3.4994	5.6101	6.2673
3.2957	4.4327	6.8976
7.5094	5.8957	7.2733
6.4791	1.5738	4.6289
11.2961	4.6913	5.1775
4.4779	3.5684	5.7351
7.8848	3.4068	3.9298
5.1399	4.1417	5.4439
1.746	1.9629	6.5347
7.1176	3.1093	14.4751
3.7128	3.2054	14.1857
3.3455	3.5813	2.6671
3.4219	1.9523	6.186
