mouse6c	mouse6d	mouse1k
100.087	149.4015	183.3597
108.1518	164.5654	168.6768
138.6217	147.1917	182.8894
130.2142	151.4164	181.6794
124.8868	90.3975	191.2212
116.446	148.6609	151.3464
123.3668	123.4409	191.4031
141.2962	156.7165	187.3321
135.3099	138.0465	185.5986
149.1925	159.8256	183.5066
140.1726	142.8813	172.9977
127.1926	145.5624	143.6214
133.8617	139.1023	182.8956
143.1635	151.6382	173.3889
146.3772	150.2034	130.5577
156.417	147.5399	169.573
137.8697	154.5558	163.2206
117.6974	130.9616	178.5963
139.9808	139.031	175.2097
159.1614	153.5291	164.2406
110.2486	139.33	167.7754
125.3545	109.3863	164.8179
88.2295	147.39	177.4008
115.7802	139.5576	182.2469
144.9225	146.6291	179.1684
118.2694	157.8571	180.6671
149.1346	157.8752	175.0521
123.3421	165.6231	173.5492
122.8321	143.8637	179.8175
116.7346	148.7218	183.7767
147.4399	140.2549	174.9328
125.4092	161.8655	168.036
136.1386	133.4218	157.3268
123.6166	143.3861	173.7455
133.675	119.0542	178.7767
92.9976	105.0073	174.5129
133.9637	153.9767	182.2642
148.7201	111.3764	186.8891
141.1569	128.9738	156.1966
153.2892	150.1372	172.4353
45.6768	156.2339	185.7033
88.021	153.6621	171.6791
151.3071	150.2718	172.8285
144.2862	151.4672	181.7263
124.0223	130.4321	163.2051
146.6651	156.5822	192.0464
139.1388	141.712	163.4183
118.5206	143.9742	159.7216
147.0648	172.0645	124.8545
163.1892	139.8398	177.4569
140.9	176.4973	100.941
144.6144	144.5276	155.8543
129.3635	148.1333	159.2923
149.5029	158.1937	184.4412
156.0224	145.3717	179.0248
125.7706	161.8466	186.1057
151.5901	148.4235	182.1487
81.0481	144.4663	77.6785
150.1611	137.2443	165.0709
144.8917	129.1949	178.6943
159.886	146.0791	181.4674
144.6896	141.2716	156.2254
157.2284	156.0809	184.1002
140.9423	157.335	176.7958
126.8337	138.0373	184.2538
112.9094	162.2915	128.1238
141.4171	108.4562	180.1174
122.3807	130.9121	186.8716
117.8519	133.8989	173.589
146.4213	149.7857	174.077
146.8042	133.6153	151.277
160.8355	91.4774	103.6355
147.3728	142.8466	172.5229
113.1327	145.2661	179.9294
140.2437	128.2909	164.0979
146.0176	114.2857	182.0253
152.3594	126.1639	176.1631
152.3646	147.1995	156.3396
168.1247	151.2517	165.054
168.2969	134.286	143.6395
156.0891	141.3847	183.3944
160.6746	141.5097	180.2468
174.2675	128.5518	178.0258
184.7561	156.1087	180.3683
167.1198	146.1197	182.7515
156.0863	152.4476	153.065
