mouse1d	mouse1e	mouse1f
6.2766	2.3696	
1.1524	4.9078	
2.6674	6.05	
9.9566	3.221	
5.2162	0.8598	
3.7074	2.6853	
1.9423	0.5401	
6.537	1.8704	
2.571	3.8769	
9.2866	2.4788	
4.0368	5.823	
2.7391	0.7989	
11.3559	3.6106	
9.0036	3.969	
3.9212	3.1606	
8.1342	4.4572	
1.8422	0.1788	
4.3404	0.9282	
6.0182	0.3831	
13.5838	5.262	
6.0419	1.2201	
3.1311	1.0382	
5.8974	1.4905	
10.8598	6.0675	
7.5002	5.9447	
4.7327	5.7327	
1.4176	6.9912	
5.1612	2.5993	
1.6578	4.6338	
9.8503	0.3098	
3.2655	0.1001	
4.5401	1.3164	
2.7713	5.0041	
1.3832	0.7911	
6.4956	0.05597	
4.4929	2.047	
2.9593	0.137	
11.69	5.1237	
9.1894	2.9665	
4.7512	0.529	
6.2381	4.3483	
4.4975	1.8204	
11.7483	10.3183	
1.7787	4.0778	
10.0238	2.5855	
3.8385	3.867	
6.0499	0.2966	
3.3473	0.8524	
5.4279	1.0319	
6.4204	3.9247	
4.0965	1.3771	
4.4536	5.4565	
5.3122	0.1929	
3.5208	1.3948	
4.9377	4.463	
11.1484	1.7185	
5.5583	6.0062	
3.7851	4.4046	
5.3589	2.3773	
9.2806	1.9548	
4.55	0.1911	
5.9888	2.508	
8.6279	1.3977	
4.1351	1.4796	
4.9976	2.1208	
4.6878	0.02737	
4.3925	6.3268	
3.2988	2.3627	
7.1985	4.0766	
1.986	4.3636	
15.1589	1.6186	
4.8594	2.2269	
6.48	3.8674	
4.9305	2.4557	
9.5123	0.5473	
2.4123	6.1823	
1.7247	0.6671	
13.4859	0.5279	
7.4986	5.6649	
9.7032	5.0916	
2.8588	0.6578	
11.8539	6.3167	
5.5255	4.0241	
10.4198	1.7228	
2.9124	2.4021	
9.816	2.2034	
4.2593	1.4217	
10.3867	4.0727	
2.0641	9.2843	
8.4771	2.0133	
2.8151	2.8191	
8.7932	2.433	
1.8703	1.1854	
12.7489	1.3302	
3.782	3.5573	
9.3531	2.7423	
4.1853	4.0911	
5.651	5.9596	
5.7887	1.7942	
4.2922	3.7512	
9.8478	3.1648	
5.2979	2.7195	
1.2503	5.6831	
3.5263	3.0127	
8.8352	2.3325	
6.1353	3.2859	
11.1824	7.2429	
8.4275	3.9131	
5.0961	2.8502	
2.779	4.0353	
7.3943	2.2284	
9.947	4.517	
3.1133	4.2604	
10.7712	5.0453	
2.2361	5.4638	
11.7053	2.8235	
2.648	7.0195	
2.1621	1.411	
9.5269	0.4658	
9.3294	2.3393	
1.7268	0.9673	
19.3232	1.1922	
5.6087	1.1515	
5.531	2.2691	
3.1315	0.9529	
3.4335	5.3955	
17.0046	0.3258	
12.2779	2.485	
3.1382	2.8795	
13.5625	1.3455	
13.2128	8.6229	
7.6648	1.0721	
2.2218	2.1246	
11.7912	4.4802	
2.6626	1.1386	
1.3849	3.9617	
7.7107	3.2447	
2.4909	1.4403	
6.7327	2.6455	
2.2774	6.5946	
9.0556	7.2541	
1.1483	2.1255	
1.6591	4.8944	
5.2863	3.3283	
3.574	2.5914	
4.1596	1.566	
3.7535	2.5842	
8.7026	4.7153	
3.4559	2.7785	
2.5575	3.901	
10.9469	4.059	
16.0396	2.3355	
1.8676	4.3189	
16.8065	2.6272	
3.905	3.1903	
7.1218	2.5108	
2.4649	1.954	
2.8347	1.6317	
12.1974	0.2868	
4.8641	0.5519	
23.4563	1.3491	
3.3718	1.0092	
7.334	4.7393	
4.5551	2.9064	
3.0926	1.7224	
6.3898	5.3246	
3.989	5.7226	
1.4935	0.5606	
7.0949	4.7016	
13.2429	0.6828	
2.2775	1.2729	
9.8829	2.1257	
7.2966	1.9478	
2.4353	1.5963	
10.6492	2.7665	
3.6828	1.6832	
18.9872	5.2311	
2.7288	2.5015	
9.6912	5.4428	
1.9374	0.7411	
8.7977	1.3482	
3.0872	2.527	
6.5509	2.4071	
0.332	2.2606	
8.3944	3.2859	
10.569	4.2611	
2.1231	2.6283	
1.362	4.436	
10.8099	5.1809	
4.503	4.2247	
4.8267	0.5912	
7.0032	2.5714	
3.0988	1.8193	
3.58	6.2257	
1.0842	1.0117	
13.4784	2.6841	
2.0625	1.6376	
19.3906	4.6153	
2.933	3.8377	
11.3199	3.8029	
4.2463	3.6636	
16.0032	0.7871	
0.7281	6.0604	
10.8414	1.192	
2.7388	2.1474	
1.6659	2.8337	
8.1145	0.8765	
1.9963	4.6219	
6.7983	6.8375	
4.0211	1.7287	
0.4847	7.4453	
4.1087	1.3655	
2.7654	3.2438	
3.7498	0.3596	
2.4279	6.0811	
0.3952	1.0836	
0.4596	4.7115	
2.871	3.7801	
10.5505	0.5888	
1.3068	0.6041	
4.787	9.2667	
1.2455	0.8234	
18.784	1.5142	
1.769	2.2264	
2.4372	2.5922	
1.8557	4.3698	
5.1214	1.1335	
2.6401	0.8303	
1.7426	7.928	
9.1306	4.3561	
6.7966	4.0386	
6.8101	1.4739	
0.9082	3.1146	
3.0475	2.3495	
1.8469	1.5685	
0.8121	1.4231	
1.5527	4.9929	
5.0673	5.3448	
3.556	0.07143	
2.8812	0.7617	
12.9589	10.5465	
2.8123	1.4942	
6.9067	0.5882	
2.6921	4.2144	
6.3058	0.709	
14.9081	1.2367	
1.5693	0.4225	
22.2245	1.6692	
2.1187	6.7654	
2.0515	4.0083	
3.349	1.7207	
2.8235	0.8317	
0.9613	8.0547	
1.5786	4.4892	
1.3482	6.5046	
1.5434	1.3891	
3.714	0.2255	
