mouse6c	mouse6d	mouse1k
172.4545	176.2753	154.8647
193.9591	168.5399	145.4777
189.6241	183.0446	169.1632
165.6037	160.3097	141.0384
161.8943	178.7664	138.3867
184.3473	137.1047	128.6717
191.1689	99.8787	140.658
156.1133	160.7985	127.6015
151.4567	171.5546	156.8342
159.2563	176.5983	124.025
168.6189	116.0499	137.7394
170.2939	177.438	152.6222
165.2618	179.247	118.8074
167.4209	177.9796	122.6871
177.2562	156.4626	161.3238
177.9424	173.6502	154.9072
132.8935	172.6563	143.744
133.3493	174.2084	162.2011
149.2321	137.7848	156.5682
170.4504	151.2143	108.9482
170.6484	169.0156	133.4765
94.6925	121.6196	129.7522
180.9594		135.4942
177.3731		148.7721
190.9551		152.5027
178.8793		163.0531
162.1445		144.3911
185.2596		145.7665
117.6041		116.2574
158.2623		129.0802
164.8789		133.2763
165.6259		104.5953
146.8125		143.9508
180.5524		120.6887
		143.1345
		131.9344
		135.4314
		151.8652
		143.5049
		146.1596
		150.4265
		166.3711
		145.5581
		147.3541
		156.5181
		93.8891
		142.7697
		87.3026
		116.9824
		104.5709
		102.7311
		93.6342
		80.9936

