eso18mouse1d	eso18mouse1e	ear18mouse1d	ear18mouse1e	ear18mouse1f	paw18mouse1d	paw18mouse1e	paw18mouse1f	backkm2421mouse1	backkm2421mouse0	backkm2421mouse7	backkm2421mouse6	is18mouse1e	is18mouse1f	sca18mouse1e	sca18mouse1f
0.09515	0.6748	1.4895	14.0066	4.2435	0.9654	5.164	3.7758	1073.836101	2586.093641	2123.147881	3878.574591	22.7744	6.5458	21.0463	2.7212
1.609	0.6984	4.1556	15.077	33.2411	8.9186	2.5648	4.5183	1980.378657	2699.200799	1097.46696	1368.23571	17.7844	1.2489	20.8343	1.9238
0.1167	0.4788	1.4224	16.7638	15.203	0.8242	4.355	5.0018	5618.608597	2647.53861	1581.245887	3218.641304	27.0497	2.9795	22.8137	2.0986
0.7101	0.7546	1.4257	16.9713	6.3781	1.7441	2.591	4.6855	1277.165183	3565.208462	2436.072623	2663.870095	8.2359	1.5387	23.2903	2.5985
2.6134	0.4899	2.3049	9.7316	7.0905	0.4278	6.014	3.1572	1420.336991	2843.505338	1664.965343	3509.030418	19.7986	2.0112	21.1882	1.8697
1.047	0.2902	2.5192	13.4163	11.0078	2.9092	1.6214	5.5644	2981.439649	3521.463775	2032.769186	3044.95098	21.0401	1.466	20.171	3.541
0.2234	1.1575	1.5213	14.6999	10.4157	1.1192	6.4275	6.024	555.7631359	2706.420727	2208.557892	5147.296651	17.1127	1.1793	21.272	3.0149
5.5453	0.8609	1.2507	5.1323	10.1545	7.0577	1.0083	1.884	500.0868244	3715.678084	1083.327662	3527.866667	15.4605	0.8608	20.5371	2.2967
0.1423	0.3116	3.2272	16.2937	17.3651	2.6359	7.1064	2.9215	769.0312902	1188.325893	3451.008	3782.912844	7.5441	1.8616	27.0688	3.8776
0.7567	0.7455	3.487	21.3065	12.5973	2.4732	1.7872	4.7738	899.6425735	2351.737062	2627.148165	2373.498965	26.0945	2.6622	21.6673	1.8048
0.3831	0.7496	3.7366	9.9788	21.5786	1.3218	2.5299	2.512	976.6197833	1852.759085	2209.105236	1972.825865	11.2621	1.4975	20.1098	1.6894
0.7754	0.2293	2.2314	10.1683	14.6713	3.6228	3.8257	6.8369	587.171381	1384.572449	2444.909126	1137.336186	10.5333	1.1331	25.0446	1.7664
